rating_id,user_id,recipe_id,rating,review,created_at
1,1,1,4.5,"Delicious and easy to make!",2023-01-16 10:00:00
2,2,1,4.0,"Classic recipe, but could use more seasoning.",2023-01-16 12:00:00
3,3,1,4.7,"Perfect dish for a family dinner!",2023-01-16 15:00:00
4,4,1,5.0,"Absolutely loved it!",2023-01-16 18:00:00
5,1,2,4.5,"Simple and tasty!",2023-02-11 10:00:00
6,2,2,4.3,"Good, but I prefer a thicker crust.",2023-02-11 12:00:00
7,3,2,4.8,"One of the best pizzas I have made!",2023-02-11 15:00:00
8,4,2,5.0,"A perfect Margherita pizza!",2023-02-11 18:00:00
9,1,3,4.8,"Absolutely delicious!",2023-03-06 10:00:00
10,2,3,4.6,"A bit too spicy for my taste, but still good.",2023-03-06 12:00:00
11,3,3,4.9,"The best Chicken Tikka Masala I've ever had!",2023-03-06 15:00:00
12,4,3,5.0,"Rich, creamy, and perfect!",2023-03-06 18:00:00
13,1,4,4.6,"A vegetarian delight!",2023-04-19 10:00:00
14,2,4,4.4,"Could use a bit more cream.",2023-04-19 12:00:00
15,3,4,4.8,"Wonderful dish, will make again!",2023-04-19 15:00:00
16,4,4,5.0,"Perfect for a special dinner.",2023-04-19 18:00:00
17,1,5,4.9,"Perfect sushi every time!",2023-05-21 10:00:00
18,2,5,4.7,"A bit tricky to roll, but worth it.",2023-05-21 12:00:00
19,3,5,4.8,"Fantastic taste, will make again.",2023-05-21 15:00:00
20,4,5,5.0,"Restaurant-quality sushi at home!",2023-05-21 18:00:00
21,1,6,4.7,"Comforting and flavorful!",2023-06-15 10:00:00
22,2,6,4.6,"A bit too salty, but still good.",2023-06-15 12:00:00
23,3,6,4.8,"Perfect for a cold day!",2023-06-15 15:00:00
24,4,6,5.0,"My new favorite ramen recipe!",2023-06-15 18:00:00
25,1,7,4.5,"Great flavors!",2023-07-10 10:00:00
26,2,7,4.4,"Would have liked a bit more spice.",2023-07-10 12:00:00
27,3,7,4.6,"Solid recipe, easy to make.",2023-07-10 15:00:00
28,4,7,5.0,"Absolutely fantastic!",2023-07-10 18:00:00
29,1,8,4.8,"Perfect dish!",2023-08-01 10:00:00
30,2,8,4.7,"Great for a quick meal.",2023-08-01 12:00:00
31,3,8,4.9,"Delicious and easy to make.",2023-08-01 15:00:00
32,4,8,5.0,"Will make again!",2023-08-01 18:00:00
33,1,9,4.6,"A good recipe.",2023-08-20 10:00:00
34,2,9,4.5,"Could use more seasoning.",2023-08-20 12:00:00
35,3,9,4.7,"Simple and tasty.",2023-08-20 15:00:00
36,4,9,5.0,"Perfect dish!",2023-08-20 18:00:00
37,1,10,4.9,"Absolutely loved it!",2023-09-15 10:00:00
38,2,10,4.8,"A bit tricky, but worth it.",2023-09-15 12:00:00
39,3,10,4.7,"Will make again.",2023-09-15 15:00:00
40,4,10,5.0,"Fantastic recipe!",2023-09-15 18:00:00
41,1,11,4.6,"Great for a quick meal.",2023-10-05 10:00:00
42,2,11,4.7,"Simple and delicious.",2023-10-05 12:00:00
43,3,11,4.8,"Easy to follow.",2023-10-05 15:00:00
44,4,11,5.0,"Perfect for a special occasion.",2023-10-05 18:00:00
45,1,12,4.9,"Absolutely perfect!",2023-10-25 10:00:00
46,2,12,4.8,"Great flavors.",2023-10-25 12:00:00
47,3,12,4.7,"Easy to make.",2023-10-25 15:00:00
48,4,12,5.0,"Will make again.",2023-10-25 18:00:00
49,1,13,4.8,"Loved it!",2023-11-12 10:00:00
50,2,13,4.7,"Good, but could use more spice.",2023-11-12 12:00:00
51,3,13,4.9,"Perfect dish!",2023-11-12 15:00:00
52,4,13,5.0,"Absolutely fantastic!",2023-11-12 18:00:00
53,1,14,4.5,"Great flavors.",2023-11-25 10:00:00
54,2,14,4.4,"A bit salty.",2023-11-25 12:00:00
55,3,14,4.6,"Will make again.",2023-11-25 15:00:00
56,4,14,5.0,"Perfect for a family dinner.",2023-11-25 18:00:00
57,1,15,4.8,"Loved it!",2023-12-10 10:00:00
58,2,15,4.7,"Simple and delicious.",2023-12-10 12:00:00
59,3,15,4.9,"Easy to make.",2023-12-10 15:00:00
60,4,15,5.0,"Will make again.",2023-12-10 18:00:00
61,1,16,4.6,"A bit tricky, but worth it.",2023-12-30 10:00:00
62,2,16,4.7,"Great flavors.",2023-12-30 12:00:00
63,3,16,4.8,"Easy to follow.",2023-12-30 15:00:00
64,4,16,5.0,"Perfect for a special occasion.",2023-12-30 18:00:00
65,5,17,4.5,"A delightful dish!",2024-01-05 10:00:00
66,6,17,4.3,"Good, but needed more seasoning.",2024-01-05 12:00:00
67,7,17,4.7,"Great for a family meal!",2024-01-05 15:00:00
68,8,17,5.0,"Absolutely perfect!",2024-01-05 18:00:00
69,5,18,4.6,"Simple yet delicious.",2024-01-15 10:00:00
70,6,18,4.4,"Could use a bit more spice.",2024-01-15 12:00:00
71,7,18,4.8,"Loved it, will make again.",2024-01-15 15:00:00
72,8,18,5.0,"Fantastic recipe!",2024-01-15 18:00:00
73,5,19,4.9,"Perfect flavors!",2024-01-25 10:00:00
74,6,19,4.7,"Great for a special occasion.",2024-01-25 12:00:00
75,7,19,4.8,"Easy to follow and delicious.",2024-01-25 15:00:00
76,8,19,5.0,"A must-try recipe!",2024-01-25 18:00:00
77,5,20,4.7,"Good but a bit tricky.",2024-02-05 10:00:00
78,6,20,4.6,"Nice flavors, will make again.",2024-02-05 12:00:00
79,7,20,4.9,"Perfect for a quick meal.",2024-02-05 15:00:00
80,8,20,5.0,"Absolutely loved it!",2024-02-05 18:00:00
81,5,21,4.8,"Great recipe!",2024-02-18 10:00:00
82,6,21,4.7,"Simple and tasty.",2024-02-18 12:00:00
83,7,21,4.9,"Easy to make.",2024-02-18 15:00:00
84,8,21,5.0,"Perfect for a weeknight dinner.",2024-02-18 18:00:00
85,5,22,4.5,"A bit spicy, but good.",2024-03-02 10:00:00
86,6,22,4.4,"Great for a family dinner.",2024-03-02 12:00:00
87,7,22,4.8,"Will definitely make again.",2024-03-02 15:00:00
88,8,22,5.0,"Loved the flavors!",2024-03-02 18:00:00
89,5,23,4.6,"Simple and delicious.",2024-03-15 10:00:00
90,6,23,4.7,"A nice comfort food.",2024-03-15 12:00:00
91,7,23,4.9,"Perfect for a rainy day.",2024-03-15 15:00:00
92,8,23,5.0,"A new favorite!",2024-03-15 18:00:00
93,5,24,4.7,"Great dish!",2024-03-25 10:00:00
94,6,24,4.6,"Good but needed more seasoning.",2024-03-25 12:00:00
95,7,24,4.8,"Nice recipe, will make again.",2024-03-25 15:00:00
96,8,24,5.0,"Fantastic!",2024-03-25 18:00:00
97,5,25,4.9,"Delicious!",2024-04-05 10:00:00
98,6,25,4.7,"Simple yet flavorful.",2024-04-05 12:00:00
99,7,25,4.8,"Great for a quick meal.",2024-04-05 15:00:00
100,8,25,5.0,"Perfect for a weeknight.",2024-04-05 18:00:00
101,5,26,4.5,"A bit tricky, but worth it.",2024-04-20 10:00:00
102,6,26,4.4,"Good but could use more spice.",2024-04-20 12:00:00
103,7,26,4.8,"Will definitely make again.",2024-04-20 15:00:00
104,8,26,5.0,"Loved it!",2024-04-20 18:00:00
105,5,27,4.6,"Great flavors!",2024-05-03 10:00:00
106,6,27,4.5,"A bit too salty.",2024-05-03 12:00:00
107,7,27,4.9,"Perfect for a special occasion.",2024-05-03 15:00:00
108,8,27,5.0,"Fantastic dish!",2024-05-03 18:00:00
109,5,28,4.7,"Nice and easy to make.",2024-05-15 10:00:00
110,6,28,4.6,"Good but a bit bland.",2024-05-15 12:00:00
111,7,28,4.8,"Delicious, will make again.",2024-05-15 15:00:00
112,8,28,5.0,"Absolutely loved it!",2024-05-15 18:00:00
113,5,29,4.9,"Great recipe for a family meal.",2024-05-30 10:00:00
114,6,29,4.8,"Good but a bit dry.",2024-05-30 12:00:00
115,7,29,4.9,"Perfect for a special dinner.",2024-05-30 15:00:00
116,8,29,5.0,"Loved every bite!",2024-05-30 18:00:00
117,5,30,4.6,"Simple and delicious.",2024-06-12 10:00:00
118,6,30,4.5,"A bit too spicy for me.",2024-06-12 12:00:00
119,7,30,4.8,"Great dish, will make again.",2024-06-12 15:00:00
120,8,30,5.0,"Absolutely fantastic!",2024-06-12 18:00:00
121,5,31,4.5,"Nice and easy to make.",2024-06-24 10:00:00
122,6,31,4.4,"Good, but a bit bland.",2024-06-24 12:00:00
123,7,31,4.8,"Will definitely make again.",2024-06-24 15:00:00
124,8,31,5.0,"Loved the flavors!",2024-06-24 18:00:00
125,5,32,4.9,"Delicious and easy.",2024-07-08 10:00:00
126,6,32,4.8,"Great for a quick meal.",2024-07-08 12:00:00
127,7,32,4.9,"Perfect for a weeknight dinner.",2024-07-08 15:00:00
128,8,32,5.0,"Absolutely perfect!",2024-07-08 18:00:00
129,5,33,4.6,"A bit tricky, but worth it.",2024-07-21 10:00:00
130,6,33,4.7,"Nice flavors, will make again.",2024-07-21 12:00:00
131,7,33,4.8,"Perfect for a family dinner.",2024-07-21 15:00:00
132,8,33,5.0,"Loved every bite!",2024-07-21 18:00:00
133,5,34,4.8,"Great dish, easy to make.",2024-08-03 10:00:00
134,6,34,4.7,"A bit too salty.",2024-08-03 12:00:00
135,7,34,4.9,"Absolutely delicious!",2024-08-03 15:00:00
136,8,34,5.0,"Will make again!",2024-08-03 18:00:00
137,5,35,4.5,"Good but a bit bland.",2024-08-15 10:00:00
138,6,35,4.4,"Nice and simple recipe.",2024-08-15 12:00:00
139,7,35,4.8,"Great for a quick meal.",2024-08-15 15:00:00
140,8,35,5.0,"Loved it!",2024-08-15 18:00:00
141,5,36,4.7,"Perfect for a family dinner.",2024-08-28 10:00:00
142,6,36,4.6,"A bit too spicy.",2024-08-28 12:00:00
143,7,36,4.9,"Great flavors, will make again.",2024-08-28 15:00:00
144,8,36,5.0,"Fantastic recipe!",2024-08-28 18:00:00
145,5,37,4.8,"Absolutely loved it!",2024-09-10 10:00:00
146,6,37,4.7,"Nice and simple recipe.",2024-09-10 12:00:00
147,7,37,4.9,"Great for a quick meal.",2024-09-10 15:00:00
148,8,37,5.0,"Loved every bite!",2024-09-10 18:00:00
149,5,38,4.6,"Good but a bit bland.",2024-09-22 10:00:00
150,6,38,4.5,"Simple and delicious.",2024-09-22 12:00:00
151,7,38,4.8,"Perfect for a weeknight dinner.",2024-09-22 15:00:00
152,8,38,5.0,"Absolutely fantastic!",2024-09-22 18:00:00
153,5,39,4.7,"Great flavors!",2024-10-03 10:00:00
154,6,39,4.6,"Nice and easy to make.",2024-10-03 12:00:00
155,7,39,4.9,"Will definitely make again.",2024-10-03 15:00:00
156,8,39,5.0,"Loved every bite!",2024-10-03 18:00:00
157,5,40,4.8,"Delicious and easy.",2024-10-15 10:00:00
158,6,40,4.7,"Great for a family dinner.",2024-10-15 12:00:00
159,7,40,4.9,"Perfect for a special occasion.",2024-10-15 15:00:00
160,8,40,5.0,"Absolutely perfect!",2024-10-15 18:00:00
