store_id,store_name,address_id,rating,created_at
1,Walmart Supercenter,51,4.5,2024-08-14 10:00:00
2,Target,52,4.0,2024-08-14 10:15:00
3,Kroger,53,3.8,2024-08-14 10:30:00
4,Costco Wholesale,54,4.7,2024-08-14 10:45:00
5,Aldi,55,4.2,2024-08-14 11:00:00
6,Sam's Club,56,4.6,2024-08-14 11:15:00
7,Whole Foods Market,57,4.8,2024-08-14 11:30:00
8,Publix,58,4.4,2024-08-14 11:45:00
9,Trader Joe's,59,4.9,2024-08-14 12:00:00
10,Safeway,60,4.1,2024-08-14 12:15:00
11,Wegmans,61,4.7,2024-08-14 12:30:00
12,Meijer,62,4.0,2024-08-14 12:45:00
13,H-E-B,63,4.6,2024-08-14 13:00:00
14,Giant Eagle,64,3.9,2024-08-14 13:15:00
15,Hy-Vee,65,4.3,2024-08-14 13:30:00
16,Food Lion,66,3.7,2024-08-14 13:45:00
17,Stop & Shop,67,4.0,2024-08-14 14:00:00
18,Harris Teeter,68,4.2,2024-08-14 14:15:00
19,Fred Meyer,69,3.8,2024-08-14 14:30:00
20,WinCo Foods,70,4.4,2024-08-14 14:45:00
21,Albertsons,71,4.1,2024-08-14 15:00:00
22,BJ's Wholesale Club,72,4.5,2024-08-14 15:15:00
23,Ralphs,73,4.0,2024-08-14 15:30:00
24,Smith's Food and Drug,74,3.9,2024-08-14 15:45:00
25,King Soopers,75,4.3,2024-08-14 16:00:00
26,Food 4 Less,76,3.7,2024-08-14 16:15:00
27,Dillons,77,4.0,2024-08-14 16:30:00
28,Kroger Marketplace,78,4.6,2024-08-14 16:45:00
29,Sprouts Farmers Market,79,4.7,2024-08-14 17:00:00
30,Save-A-Lot,80,3.5,2024-08-14 17:15:00
31,A&P,81,2.5,2024-08-14 17:30:00
32,ShopRite,82,4.0,2024-08-14 17:45:00
33,Fairway Market,83,3.8,2024-08-14 18:00:00
34,Farm Fresh,84,4.3,2024-08-14 18:15:00
35,Shaw's,85,3.7,2024-08-14 18:30:00
36,Marsh Supermarkets,86,4.1,2024-08-14 18:45:00
37,Piggly Wiggly,87,4.2,2024-08-14 19:00:00
38,Fresh Thyme,88,4.0,2024-08-14 19:15:00
39,Fresh Market,89,4.4,2024-08-14 19:30:00
40,Foods Co,90,3.6,2024-08-14 19:45:00
41,Cub Foods,91,4.2,2024-08-14 20:00:00
42,Price Chopper,92,4.0,2024-08-14 20:15:00
43,Hannaford,93,4.1,2024-08-14 20:30:00
44,Ingles Markets,94,3.9,2024-08-14 20:45:00
45,Bashas',95,3.7,2024-08-14 21:00:00
46,Brookshire's,96,4.0,2024-08-14 21:15:00
47,Raley's,97,4.3,2024-08-14 21:30:00
48,Fareway,98,3.8,2024-08-14 21:45:00
49,Vons,99,4.5,2024-08-14 22:00:00
50,Frys Food Stores,100,4.2,2024-08-14 22:15:00
